Section,#,Cas de test,Actions,Resultat attendu,Statut,Commentaires,
DEMANDE DE DEVIS - Soumission,23.1,Acces dialog Business,"Aller sur /plans, cliquer Demander un devis sur le plan Business",Dialog BusinessQuoteRequestDialog s'ouvre,,,
DEMANDE DE DEVIS - Soumission,23.2,Affichage des champs,Ouvrir le dialog,"Champs visibles : nom contact, email, telephone, entreprise, besoins, budget, taille equipe, timeline, types d'evenement",,,
DEMANDE DE DEVIS - Soumission,23.3,Champs obligatoires,Soumettre le formulaire vide,Messages d'erreur sur les champs requis (nom, email, telephone, entreprise, besoins),,,
DEMANDE DE DEVIS - Soumission,23.4,Validation longueur besoins,Saisir un texte besoins < 20 caracteres et soumettre,Message d'erreur (min 20 caracteres),,,
DEMANDE DE DEVIS - Soumission,23.5,Validation email,Saisir un email mal formate,Message d'erreur Email invalide,,,
DEMANDE DE DEVIS - Soumission,23.6,Champ types d'evenement,Saisir plusieurs types separes par des virgules,Chaque type est accepte (max 100 chars chacun),,,
DEMANDE DE DEVIS - Soumission,23.7,Soumission valide,Remplir tous les champs obligatoires et soumettre,"Toast Demande envoyee, tracking code QR-XXXX affiche, QR code visible",,,
DEMANDE DE DEVIS - Soumission,23.8,Nouvelle demande apres succes,Apres soumission cliquer Faire une autre demande,Le formulaire se reinitialise,,,
DEMANDE DE DEVIS - Soumission,23.9,Throttle anti-spam,Soumettre plus de 6 demandes en moins d'une minute,Message d'erreur 429 (trop de tentatives),,,
DEMANDE DE DEVIS - Mes demandes,24.1,Acces tab Demandes Business,Acceder a /subscriptions?tab=business-requests,Tab Demandes Business actif et liste affichee,,,
DEMANDE DE DEVIS - Mes demandes,24.2,Liste vide,Utilisateur sans demande,Message Aucune demande pour le moment,,,
DEMANDE DE DEVIS - Mes demandes,24.3,Affichage demande,Avoir au moins une demande,"Carte avec code de suivi, statut, etape courante",,,
DEMANDE DE DEVIS - Mes demandes,24.4,Timeline activites,Verifier la timeline,Historique des etapes et evenements affiches,,,
DEMANDE DE DEVIS - Mes demandes,24.5,Offres recues,Avoir une offre envoyee par admin,Offre listee avec titre/montant/statut,,,
DEMANDE DE DEVIS - Mes demandes,24.6,Ouvrir une offre,Cliquer sur une offre,Redirection vers /offers/:client_token,,,
DEMANDE DE DEVIS - Mes demandes,24.7,Rafraichissement automatique,Garder la page ouverte,Les donnees se mettent a jour (polling 10s),,,
DEMANDE DE DEVIS - Offre publique,25.1,Acces via lien token,Acceder a /offers/:client_token,Page PublicOfferPage affichee sans authentification requise,,,
DEMANDE DE DEVIS - Offre publique,25.2,Affichage details,Verifier le contenu,"Titre, prix formate, devise, description, fonctionnalites, conditions, date d'expiration",,,
DEMANDE DE DEVIS - Offre publique,25.3,Token invalide,Acceder a /offers/token-bidon,Message erreur ou 404,,,
DEMANDE DE DEVIS - Offre publique,25.4,Offre en attente (sent),Ouvrir une offre status=sent,Boutons Accepter et Refuser visibles + champ note optionnelle,,,
DEMANDE DE DEVIS - Offre publique,25.5,Offre expiree,Ouvrir une offre dont expires_at est passe,"Status passe a expired automatiquement, message Offre expiree, pas de formulaire de reponse",,,
DEMANDE DE DEVIS - Offre publique,25.6,Offre deja acceptee,Ouvrir une offre status=accepted,"Affichage Offre acceptee, date de reponse, note client, pas de formulaire",,,
DEMANDE DE DEVIS - Offre publique,25.7,Offre deja refusee,Ouvrir une offre status=rejected,Affichage Offre refusee + date + note,,,
DEMANDE DE DEVIS - Offre publique,25.8,Accepter offre,Cliquer Accepter puis confirmer dans la modal,"Toast Offre acceptee, statut bascule a accepted, formulaire desactive",,,
DEMANDE DE DEVIS - Offre publique,25.9,Refuser offre,Cliquer Refuser puis confirmer,"Toast Offre refusee, statut bascule a rejected",,,
DEMANDE DE DEVIS - Offre publique,25.10,Note de reponse,Saisir une note avant d'accepter/refuser,La note est envoyee et affichee apres validation,,,
DEMANDE DE DEVIS - Offre publique,25.11,Annulation confirmation,Ouvrir la modal de confirmation puis cliquer Annuler,La modal se ferme sans envoi,,,
DEMANDE DE DEVIS - Offre publique,25.12,Provisionnement subscription,Accepter une offre liee a un plan Business,La reponse contient subscription_id et une subscription pending apparait pour l'utilisateur,,,
ADMIN - Demandes de devis Liste,26.1,Acces page admin,Acceder a /admin/quote-requests en tant qu'admin,Page liste affichee,,,
ADMIN - Demandes de devis Liste,26.2,Acces refuse user,Acceder a /admin/quote-requests en tant qu'utilisateur normal,Acces refuse / redirection,,,
ADMIN - Demandes de devis Liste,26.3,Liste paginee,Avoir > 20 demandes,Pagination affichee (20 par page par defaut),,,
ADMIN - Demandes de devis Liste,26.4,Recherche par code,Saisir un tracking code dans le champ recherche,Seules les demandes matchant sont affichees,,,
ADMIN - Demandes de devis Liste,26.5,Recherche par societe/contact,Saisir un nom d'entreprise ou contact,Resultats filtres,,,
ADMIN - Demandes de devis Liste,26.6,Filtre par etape,Selectionner une etape,Seules les demandes a cette etape sont affichees,,,
ADMIN - Demandes de devis Liste,26.7,Filtre par statut,Filtrer par statut (open/closed),Resultats filtres,,,
ADMIN - Demandes de devis Liste,26.8,Filtre par issue,Filtrer par outcome (won/lost),Resultats filtres,,,
ADMIN - Demandes de devis Liste,26.9,Filtre par admin assigne,Filtrer par responsable,Seules demandes assignees a cet admin,,,
ADMIN - Demandes de devis Liste,26.10,Filtre par date,Selectionner date_from et date_to,Resultats dans l'intervalle,,,
ADMIN - Demandes de devis Liste,26.11,Filtre par budget,Saisir budget_min et budget_max,Resultats dans la fourchette,,,
ADMIN - Demandes de devis Liste,26.12,Tri,Changer sort_by et sort_dir,Liste reordonnee,,,
ADMIN - Demandes de devis Liste,26.13,Selection multiple,Cocher plusieurs lignes,Le compteur de selection s'incremente,,,
ADMIN - Demandes de devis Liste,26.14,Bulk assign,Selectionner plusieurs + assigner a un admin,Toutes les demandes sont assignees,,,
ADMIN - Demandes de devis Liste,26.15,Export XLSX,Cliquer sur Exporter,"Fichier demandes-business-YYYY-MM-DD.xlsx telecharge, contient les filtres courants",,,
ADMIN - Demandes de devis Liste,26.16,Side panel desktop,Cliquer sur une demande sur desktop,Side panel ouvre les details a droite,,,
ADMIN - Demandes de devis Liste,26.17,Navigation prev/next,Dans le side panel cliquer suivant/precedent,Navigation entre demandes,,,
ADMIN - Demandes de devis Detail,27.1,Acces direct par URL (BUG FIX),Acceder directement a /admin/quote-requests/:id meme si la demande n'est pas dans les 20 premieres,La demande se charge correctement via le hook useAdminQuoteRequest,,,
ADMIN - Demandes de devis Detail,27.2,Loading state,Acceder a une demande,Spinner et message Chargement de la demande... affiches pendant le fetch,,,
ADMIN - Demandes de devis Detail,27.3,Demande introuvable,Acceder a /admin/quote-requests/uuid-inexistant,Message Demande introuvable + bouton Retour,,,
ADMIN - Demandes de devis Detail,27.4,Bouton retour,Cliquer Retour aux demandes,Navigation vers /admin/quote-requests,,,
